t_qh,solar_e_prod_normalized,ambient_temperature_deg_c
324,0.011111111,-6.5
325,0.030555556,-6.5
326,0.030555556,-6.5
327,0.030555556,-6.5
328,0.030555556,-6.5
329,0.033333333,-6.7
330,0.033333333,-6.7
331,0.033333333,-6.7
332,0.033333333,-6.7
333,0.075,-6.8
334,0.075,-6.8
335,0.075,-6.8
336,0.075,-6.8
337,0.063888889,-6.9
338,0.063888889,-6.9
339,0.063888889,-6.9
340,0.063888889,-6.9
341,0.044444444,-7.1
342,0.044444444,-7.1
343,0.044444444,-7.1
344,0.044444444,-7.1
345,0.030555556,-7.2
346,0.030555556,-7.2
347,0.030555556,-7.2
348,0.030555556,-7.2
349,0.005555556,-7
350,0.005555556,-7
351,0.005555556,-7
352,0.005555556,-7
353,0,-7.1
354,0,-7.1
355,0,-7.1
356,0,-7.1
357,0,-6.8
358,0,-6.8
359,0,-6.8
360,0,-6.8
361,0,-6.6
362,0,-6.6
363,0,-6.6
364,0,-6.6
365,0,-6.3
366,0,-6.3
367,0,-6.3
368,0,-6.3
369,0,-6.1
370,0,-6.1
371,0,-6.1
372,0,-6.1
373,0,-5.9
374,0,-5.9
375,0,-5.9
376,0,-5.9
377,0,-5.6
378,0,-5.6
379,0,-5.6
380,0,-5.6
381,0,-5.4
382,0,-5.4
383,0,-5.4
384,0,-5.4
385,0,-5.1
386,0,-5.1
387,0,-5.1
388,0,-5.1
389,0,-4.8
390,0,-4.8
391,0,-4.8
392,0,-4.8
393,0,-4.4
394,0,-4.4
395,0,-4.4
396,0,-4.4
397,0,-4.2
398,0,-4.2
399,0,-4.2
400,0,-4.2
401,0,-4
402,0,-4
403,0,-4
404,0,-4
405,0,-3.8
406,0,-3.8
407,0,-3.8
408,0,-3.8
409,0,-3.6
410,0,-3.6
411,0,-3.6
412,0,-3.6
413,0,-3.5
414,0,-3.5
415,0,-3.5
416,0,-3.5
417,0.011111111,-3.4
418,0.011111111,-3.4
419,0.011111111,-3.4
420,0.011111111,-3.4
421,0.033333333,-1.7
422,0.033333333,-1.7
423,0.033333333,-1.7
424,0.033333333,-1.7
425,0.052777778,0.6
426,0.052777778,0.6
427,0.052777778,0.6
428,0.052777778,0.6
429,0.080555556,2.7
430,0.080555556,2.7
431,0.080555556,2.7
432,0.080555556,2.7
433,0.072222222,4.3
434,0.072222222,4.3
435,0.072222222,4.3
436,0.072222222,4.3
437,0.088888889,5.3
438,0.088888889,5.3
439,0.088888889,5.3
440,0.088888889,5.3
441,0.041666667,5.5
442,0.041666667,5.5
443,0.041666667,5.5
444,0.041666667,5.5
445,0.005555556,4.7
446,0.005555556,4.7
447,0.005555556,4.7
448,0.005555556,4.7
449,0,3.3
450,0,3.3
451,0,3.3
452,0,3.3
453,0,3.4
454,0,3.4
455,0,3.4
456,0,3.4
457,0,3.4
458,0,3.4
459,0,3.4
460,0,3.4
461,0,3.5
462,0,3.5
463,0,3.5
464,0,3.5
465,0,3.5
466,0,3.5
467,0,3.5
468,0,3.5
469,0,3.6
470,0,3.6
471,0,3.6
472,0,3.6
473,0,3.6
474,0,3.6
475,0,3.6
476,0,3.6
477,0,3.7
478,0,3.7
479,0,3.7
480,0,3.7
481,0,3.4
482,0,3.4
483,0,3.4
484,0,3.4
485,0,3.2
486,0,3.2
487,0,3.2
488,0,3.2
489,0,3
490,0,3
491,0,3
492,0,3
493,0,2.9
494,0,2.9
495,0,2.9
496,0,2.9
497,0,2.8
498,0,2.8
499,0,2.8
500,0,2.8
501,0,2.7
502,0,2.7
503,0,2.7
504,0,2.7
505,0,2.6
506,0,2.6
507,0,2.6
508,0,2.6
509,0.002777778,2.6
510,0.002777778,2.6
511,0.002777778,2.6
512,0.002777778,2.6
513,0.041666667,2.6
514,0.041666667,2.6
515,0.041666667,2.6
516,0.041666667,2.6
517,0.113888889,3.9
518,0.113888889,3.9
519,0.113888889,3.9
520,0.113888889,3.9
521,0.175,5.7
522,0.175,5.7
523,0.175,5.7
524,0.175,5.7
525,0.069444444,7.3
526,0.069444444,7.3
527,0.069444444,7.3
528,0.069444444,7.3
529,0.163888889,8.7
530,0.163888889,8.7
531,0.163888889,8.7
532,0.163888889,8.7
533,0.111111111,9.5
534,0.111111111,9.5
535,0.111111111,9.5
536,0.111111111,9.5
537,0.058333333,9.8
538,0.058333333,9.8
539,0.058333333,9.8
540,0.058333333,9.8
541,0.011111111,9
542,0.011111111,9
543,0.011111111,9
544,0.011111111,9
545,0,7.9
546,0,7.9
547,0,7.9
548,0,7.9
549,0,7.4
550,0,7.4
551,0,7.4
552,0,7.4
553,0,6.9
554,0,6.9
555,0,6.9
556,0,6.9
557,0,6.4
558,0,6.4
559,0,6.4
560,0,6.4
561,0,5.9
562,0,5.9
563,0,5.9
564,0,5.9
565,0,5.4
566,0,5.4
567,0,5.4
568,0,5.4
569,0,5
570,0,5
571,0,5
572,0,5
573,0,4.5
574,0,4.5
575,0,4.5
576,0,4.5
577,0,3.8
578,0,3.8
579,0,3.8
580,0,3.8
581,0,3.1
582,0,3.1
